,,,,,,,,,With High Seas,,,,Without High Seas,,,,
,,,,,,,,,Outbound_Inbound,,Outbound_inbound,,Outbound_Inbound,,Outbound_inbound,,Clear
,ISO3,,CSCC-DJO,,,CSCC-Tol,,,Transfer_T_wealth_DJO,,Transfer_T_wealth_Tol,,Transfer_T_wealth_DJO,,Transfer_T_wealth_Tol,,
,,,USD(2020)/tCO2,,,USD(2020)/tCO2,,,b USD(2020) (10^9),,b USD(2020) (10^9),,b USD(2020) (10^9),,b USD(2020) (10^9),,123
,,,Mean,Std,Var,Mean,Std,Var,Mean,Std,Mean,Std,Mean,Std,Mean,Std,
26,BRA,Brazil,3.242610884,2.009805828,4.039319468,0.356275941,0.150122688,0.022536822,-12.67263304,21.23765835,-1.01234502,1.688885267,6.842581563,9.171970179,1.131853498,0.826432353,1
27,ECU,Ecuador,0.13799578,0.078458517,0.006155739,0.040474664,0.017213171,0.000296293,5.628766949,1.010812404,0.488760997,0.21987489,6.459275868,0.672959294,0.732352281,0.140272327,1
28,MDV,Maldives,0,0,0,0.000694062,0.00029314,8.59E-08,5.915981737,0.955648199,0.752059655,0.144537295,5.915981737,0.955648199,0.756236771,0.144508472,1
29,ISR,Israel,1.38957363,0.174345961,0.030396514,0.006608917,0.003007104,9.04E-06,-14.09768811,2.710545144,-0.047497574,0.032563402,-5.734727348,1.12058687,-0.007722703,0.013911778,1
30,CPV,Cape Verde,0.002075774,0.001355386,1.84E-06,0.001455943,0.000623015,3.88E-07,5.131416518,0.83246741,0.646295287,0.126036807,5.143909281,0.832366801,0.655057682,0.125887768,1
31,SOM,Somalia,0.002498981,0.002244383,5.04E-06,0,0,0,4.997927305,0.811816597,0.644658993,0.122706232,5.012967083,0.811539776,0.644658993,0.122706232,1
32,ARE,United Arab Emirates,1.206424,0.279906562,0.078347684,0.009425575,0.0041482,1.72E-05,-12.00531554,3.372452114,-0.049008751,0.045647998,-4.744616025,1.394814524,0.007717795,0.020596057,0
33,TON,Tonga,0,0,0,0.000306559,0.000131679,1.73E-08,4.279728577,0.691333254,0.546059663,0.104546236,4.279728577,0.691333254,0.547904649,0.104538216,1
34,VNM,Vietnam,0.149720753,0.053216793,0.002832027,0.544405056,0.233301063,0.054429386,3.28938397,0.975680219,-4.965931366,2.520963912,4.190458055,0.815821097,-1.689503243,1.044431691,0
35,VUT,Vanuatu,0.002481583,0.001389838,1.93E-06,0.000856489,0.000364913,1.33E-07,3.98021629,0.647224835,0.505249393,0.097920912,3.995151361,0.647086431,0.510404059,0.09785502,1
36,PER,Peru,0.386735181,0.212437365,0.045129634,0.073832581,0.031418742,0.000987137,1.62751371,2.421388134,-0.039459894,0.365694541,3.955027041,1.292845466,0.404891497,0.195343294,1
37,PLW,Palau,0,0,0,2.74E-05,1.14E-05,1.31E-10,3.950337093,0.638124439,0.506653594,0.096491463,3.950337093,0.638124439,0.506818615,0.096491397,1
38,MEX,Mexico,3.923149495,2.41995913,5.856202191,0.172543521,0.071712041,0.005142617,-19.77133116,25.4804262,0.857599095,0.918811958,3.839612938,10.81678874,1.896028917,0.589681438,1
39,ARG,Argentina,0.763786393,0.388078942,0.150605266,0.060438781,0.025307632,0.000640476,-0.944167184,4.271250017,0.264333797,0.321138256,3.652577816,2.028548907,0.628076418,0.202372649,1
40,CRI,Costa Rica,0.093034886,0.039954747,0.001596382,0.009044329,0.003806309,1.45E-05,2.895101446,0.756639296,0.401215533,0.102635727,3.45501931,0.646597245,0.455647601,0.095534854,1
41,NAM,Namibia,0.037381761,0.013014622,0.00016938,0.005060408,0.002143182,4.59E-06,3.228916119,0.601002412,0.411655666,0.091221079,3.453893185,0.586484552,0.442111048,0.088745036,1
42,QAT,Qatar,0.846174016,0.155647772,0.024226229,0.001264346,0.000635741,4.04E-07,-8.478765329,2.021988406,0.012989777,0.008389422,-3.386181574,0.836250957,0.020599071,0.005680616,0
43,LKA,Sri Lanka,0.069651442,0.03746873,0.001403906,0.085482831,0.036697942,0.001346739,2.71366319,0.68138082,-0.437050838,0.404986442,3.132850966,0.577384967,0.077416009,0.183597969,1
44,NGA,Nigeria,0.989321392,0.606629186,0.36799897,0.964819071,0.41187622,0.169642021,-8.999195717,6.38989526,-9.750637983,4.453949986,-3.045098857,2.644916292,-3.944005024,1.840005591,1
45,MMR,Myanmar,0.042731442,0.031023175,0.000962437,0,0,0,2.758042617,0.609485031,0.410188652,0.078076478,3.015216013,0.533283987,0.410188652,0.078076478,1
46,YEM,Yemen,0.117194126,0.072937212,0.005319837,0.153409684,0.06530558,0.004264819,2.186293113,0.941903306,-1.139010346,0.710587572,2.891610091,0.631990404,-0.215734932,0.302613467,0
47,OMN,Oman,0.16280489,0.081020976,0.006564399,0.003020103,0.001296716,1.68E-06,1.905366679,1.038732316,0.427864048,0.088448487,2.885185868,0.678313156,0.446040127,0.087524045,1
48,MOZ,Mozambique,0.188330057,0.143439383,0.020574857,0.27547883,0.117753234,0.013865824,1.706432159,1.606227752,-2.359268487,1.275014498,2.839871112,0.851593801,-0.701336445,0.532010492,0
49,KWT,Kuwait,0.606714437,0.195828667,0.038348867,0.002586683,0.001200152,1.44E-06,-6.152555418,2.197004074,-0.017317085,0.013001634,-2.501126721,0.908194926,-0.001749486,0.005606778,1
50,NIU,Niue,0,0,0,0,0,0,2.044183311,0.330210637,0.262323906,0.049931481,2.044183311,0.330210637,0.262323906,0.049931481,1
51,NRU,Nauru,0,0,0,0,0,0,1.987103195,0.320990103,0.254998986,0.048537234,1.987103195,0.320990103,0.254998986,0.048537234,1
