Table ST2: Costs as percentage of GDP,,,,,,,,,,,,,,,,,,,,,,,,
,NDCs with low ambition,,,,,,,,,,,,NDCs with high ambition,,,,,,,,,,,
,Without Emissions Reductions Trading,,,,,,With Emissions Reductions Trading,,,,,,Without Emissions Reductions Trading,,,,,,With Emissions Reductions Trading,,,,,
Country,Baseline OCS,,5% Attenuation OCS,,10% Attenuation OCS,,Baseline OCS,,5% Attenuation OCS,,10% Attenuation OCS,,Baseline OCS,,5% Attenuation OCS,,10% Attenuation OCS,,Baseline OCS,,5% Attenuation OCS,,10% Attenuation OCS,
Region,Mean,Std,Mean,Std,Mean,Std,Mean,Std,Mean,Std,Mean,Std,Mean,Std,Mean,Std,Mean,Std,Mean,Std,Mean,Std,Mean,Std
KAZ,0.215343635,0.243083779,0.215343635,0.243083779,0.215343635,0.243083779,0.146339561,0.121662821,0.155175879,0.131507135,0.162169458,0.141139746,0.441868206,0.341081292,0.441868206,0.341081292,0.441868206,0.341081292,0.327866575,0.251263665,0.338711651,0.265024776,0.346928528,0.278762989
THA,0.088992866,0.055186814,0.092165558,0.056407843,0.095417125,0.057639098,0.068878307,0.043255524,0.075089329,0.045456911,0.080907334,0.047527992,0.217198996,0.094347014,0.223085373,0.095809609,0.229080609,0.097278535,0.1635636,0.091390655,0.173404557,0.095647667,0.182647551,0.099892086
MYS,0.108072349,0.069111651,0.11540405,0.072008811,0.12308018,0.074951175,0.088382929,0.055590228,0.097931797,0.059191357,0.107396741,0.062697795,0.108072349,0.069111651,0.11540405,0.072008811,0.12308018,0.074951175,0.092894461,0.082224882,0.097552669,0.08867111,0.102240151,0.095309036
EGY,0,0,1.80685E-07,2.48662E-08,1.44548E-06,1.98929E-07,-0.06769882,0.050317216,-0.078766442,0.055462284,-0.089853611,0.060320307,0,0,1.80685E-07,2.48662E-08,1.44548E-06,1.98929E-07,-0.179740811,0.093408844,-0.201043552,0.099926971,-0.222248726,0.106150452
PAK,0,0,2.01413E-07,3.17034E-08,1.61131E-06,2.53627E-07,-0.084583873,0.065529169,-0.098421967,0.072438876,-0.11229562,0.079002891,0,0,2.01413E-07,3.17034E-08,1.61131E-06,2.53627E-07,-0.223606955,0.12226806,-0.250087076,0.13106508,-0.276462311,0.13947221
UKR,0.0227768,0.042032631,0.024019449,0.043672718,0.025321121,0.045349605,-0.006542444,0.055268182,-0.010525334,0.062012916,-0.014659046,0.06856294,0.0227768,0.042032631,0.024019449,0.043672718,0.025321121,0.045349605,-0.082124662,0.116590374,-0.095282231,0.127063419,-0.108514142,0.13744755
ARE,0.324840537,0.146749943,0.327512332,0.147620056,0.330199111,0.148492778,0.11122849,0.065072884,0.123395621,0.068709436,0.134956375,0.07210521,0.324840537,0.146749943,0.327512332,0.147620056,0.330199111,0.148492778,0.1724359,0.089470397,0.183648181,0.09364314,0.194092978,0.097706951
IRQ,0,0,1.38534E-13,1.70305E-14,1.10827E-12,1.36244E-13,-0.080978658,0.060320719,-0.096483481,0.067554931,-0.112527272,0.074549434,0,0,1.38534E-13,1.70305E-14,1.10827E-12,1.36244E-13,-0.214801265,0.111005985,-0.244434936,0.120217924,-0.274634751,0.129166863
DZA,0.006902253,0.004656763,0.007415756,0.00495553,0.007954895,0.005266359,-0.045433996,0.040291453,-0.057902379,0.04588925,-0.070968157,0.051198794,0.110017637,0.04247443,0.113453596,0.043413035,0.116961978,0.044360715,0.07572683,0.060294282,0.069988242,0.066267017,0.063165162,0.072846333
ARG,0.121799758,0.116140146,0.14767614,0.130384843,0.177333311,0.14536966,0.069664499,0.067006185,0.084388297,0.074921069,0.100545302,0.08290935,0.121799758,0.116140146,0.14767614,0.130384843,0.177333311,0.14536966,0.091595556,0.095302473,0.110418914,0.104618361,0.131207957,0.114079019
