Table ST2: Costs as percentage of GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alpha: country-splitting (main specification),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NDCs with low ambition,,,,,,,,,,,,NDCs with high ambition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Without Emissions Reductions Trading,,,,,,With Emissions Reductions Trading,,,,,,Without Emissions Reductions Trading,,,,,,With Emissions Reductions Trading,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Baseline OCS,,5% Attenuation OCS,,10% Attenuation OCS,,Baseline OCS,,5% Attenuation OCS,,10% Attenuation OCS,,Baseline OCS,,5% Attenuation OCS,,10% Attenuation OCS,,Baseline OCS,,5% Attenuation OCS,,10% Attenuation OCS,,,,,,,,,,,,,,,,,,,,,,,,
Region,Mean,Std,Mean,Std,Mean,Std,Mean,Std,Mean,Std,Mean,Std,Mean,Std,Mean,Std,Mean,Std,Mean,Std,Mean,Std,Mean,Std,,,,,,,,,,,,,,,,,,,,,,,
MEX,0.003964894,0.009563169,0.006214363,0.01407366,0.009709515,0.019562598,-0.012176473,0.017760463,-0.007372884,0.021355948,-0.000735293,0.025523251,0.04301072,0.056519411,0.058354061,0.068501777,0.077584818,0.081631813,0.028318365,0.063380802,0.043336243,0.071179055,0.060745727,0.079296334,,,,,,,,,,,,,,,,,,,,,,,
VNM,0,0,2.7709E-06,5.86003E-07,2.21672E-05,4.68803E-06,-0.082920624,0.064436218,-0.094024621,0.070054691,-0.104489859,0.075181454,0,0,2.7709E-06,5.86003E-07,2.21672E-05,4.68803E-06,-0.23225998,0.119659941,-0.254662982,0.126632246,-0.276053321,0.133145181,,,,,,,,,,,,,,,,,,,,,,,
GBR,0.173576893,0.098556072,0.305268988,0.135364464,0.494188738,0.173148826,0.035989098,0.025283276,0.050252912,0.031923017,0.066744092,0.038927907,0.173576893,0.098556072,0.305268988,0.135364464,0.494188738,0.173148826,0.061501088,0.03757462,0.085184433,0.045994337,0.111894885,0.054731895,,,,,,,,,,,,,,,,,,,,,,,
KAZ,0.185511216,0.225588299,0.185511216,0.225588299,0.185511216,0.225588299,0.124890579,0.113179231,0.132337509,0.123007456,0.138050257,0.132622822,0.435226997,0.338772832,0.435226997,0.338772832,0.435226997,0.338772832,0.315452171,0.239320435,0.326699343,0.253311786,0.335369218,0.267323845,,,,,,,,,,,,,,,,,,,,,,,
THA,0.115107523,0.064708232,0.118904973,0.066003422,0.12278913,0.067307782,0.076595484,0.047534686,0.084437105,0.050049873,0.091873611,0.052383669,0.284583798,0.110003038,0.29166469,0.111525947,0.298865272,0.113053905,0.188950211,0.097591824,0.201710767,0.102131428,0.213829748,0.106615705,,,,,,,,,,,,,,,,,,,,,,,
MYS,0.077977251,0.056138661,0.083803417,0.058806915,0.089934323,0.061526151,0.067617906,0.04616432,0.074926358,0.049474752,0.082191525,0.052726639,0.077977251,0.056138661,0.083803417,0.058806915,0.089934323,0.061526151,0.058945883,0.07289282,0.060740022,0.079513205,0.062609238,0.086328457,,,,,,,,,,,,,,,,,,,,,,,
EGY,0,0,1.80685E-07,2.48662E-08,1.44548E-06,1.98929E-07,-0.059925426,0.045790497,-0.070111738,0.050684105,-0.080344509,0.05531132,0,0,1.80685E-07,2.48662E-08,1.44548E-06,1.98929E-07,-0.168666979,0.084037722,-0.189114064,0.090160907,-0.209516812,0.096042898,,,,,,,,,,,,,,,,,,,,,,,
PAK,0,0,2.01413E-07,3.17034E-08,1.61131E-06,2.53627E-07,-0.074913848,0.059600164,-0.087656105,0.066163924,-0.1004668,0.072408495,0,0,2.01413E-07,3.17034E-08,1.61131E-06,2.53627E-07,-0.209698674,0.109887942,-0.235095288,0.118094914,-0.260453425,0.125974836,,,,,,,,,,,,,,,,,,,,,,,
UKR,0.007099285,0.016625647,0.007556637,0.017556099,0.008040372,0.018517583,-0.038513094,0.055119808,-0.046393067,0.061318986,-0.054345021,0.06723679,0.007099285,0.016625647,0.007556637,0.017556099,0.008040372,0.018517583,-0.145366051,0.10954547,-0.163977528,0.118472358,-0.182568411,0.127220679,,,,,,,,,,,,,,,,,,,,,,,
ARE,0.24603935,0.119940412,0.248248601,0.120726145,0.250471435,0.121514475,0.090753722,0.055813717,0.100936343,0.059156853,0.110584795,0.062294425,0.24603935,0.119940412,0.248248601,0.120726145,0.250471435,0.121514475,0.142809075,0.078329241,0.151690138,0.082388168,0.159875803,0.086359341,,,,,,,,,,,,,,,,,,,,,,,
