,,(Country) Social Cost of carbon,,CSCC-Tol,,,(National) CO2 Prices,,,,(National) CO2 Prices with 5% Ocean Weakening,,,,(National) CO2 Prices with 10% Ocean Carbon Sink Decrease,,,
,,,,,,,alpha: country-splitting (main specification),,,,alpha: country-splitting (main specification),,,,alpha: country-splitting (main specification),,,
,,DJO,,Tol ,,,Low NDCs ambition,,High NDCs ambition,,Low NDCs ambition,,High NDCs ambition,,Low NDCs ambition,,High NDCs ambition,
,,USD(2020)/tCO2,,USD(2020)/tCO2,,,USD(2020)/tCO2,,USD(2020)/tCO2,,USD(2020)/tCO2,,USD(2020)/tCO2,,USD(2020)/tCO2,,USD(2020)/tCO2,
,,Mean,Std,Mean,Std,,Mean,Std,Mean,Std,Mean,Std,Mean,Std,Mean,Std,Mean,Std
IRN,IRN,0.693536614,0.26253434,0.200413879,0.085227312,,5.814372048,4.34688281,15.81517164,8.21059743,5.874893766,4.381603575,15.92569128,8.241577965,5.93584197,4.416300142,16.03663742,8.27252354
COL,COL,0.666053134,0.341863442,0.108448643,0.046078536,,77.33854913,27.03671042,77.33854913,27.03671042,87.92125328,28.13978209,87.92125328,28.13978209,99.21129542,29.17707572,99.21129542,29.17707572
KWT,KWT,0.606714437,0.195828667,0.002586683,0.001200152,,35.63075602,14.38694446,35.63075602,14.38694446,35.72752221,14.40773013,35.72752221,14.40773013,35.82442646,14.42851264,35.82442646,14.42851264
PAK,PAK,0.600147375,0.383183968,1.277324605,0.544807159,,0,0,0,0,0.003198055,0.000499693,0.003198055,0.000499693,0.01279222,0.001998773,0.01279222,0.001998773
MYS,MYS,0.527815821,0.209660046,0.04901018,0.020502045,,14.98927386,7.035307386,14.98927386,7.035307386,15.78280124,7.170372124,15.78280124,7.170372124,16.5986282,7.302207502,16.5986282,7.302207502
VEN,VEN,0.489847771,0.167929188,0.05261017,0.02202792,,0,0,0,0,0.196951006,0.026475537,0.196951006,0.026475537,0.787804025,0.105902149,0.787804025,0.105902149
IDN,IDN,0.461671778,0.200035082,1.037242901,0.444074415,,9.448735055,6.103047663,57.93787644,11.15544756,13.04911171,6.998543401,66.96315883,11.58485381,17.31834458,7.800359042,76.65729745,12.03309281
CHL,CHL,0.453801936,0.171641501,0.02337769,0.009744356,,56.17934567,24.9475007,56.17934567,24.9475007,103.8927891,30.53655718,103.8927891,30.53655718,166.8558193,34.88129301,166.8558193,34.88129301
AGO,AGO,0.443907254,0.261851029,0.062661765,0.026653931,,24.51093263,5.116493961,56.90163175,7.2782614,39.44714094,6.228004837,78.82875878,8.517200711,57.97398966,7.339410266,104.3465262,10.02319544
PHL,PHL,0.401954793,0.23280161,0.448750803,0.19144995,,0,0,345.0621699,21.2056713,0.664087743,0.112497798,345.0621699,21.2056713,2.656350971,0.44999119,345.0621699,21.2056713
PER,PER,0.386735181,0.212437365,0.073832581,0.031418742,,3.69354689,7.315742481,49.78608414,25.7867917,8.867166306,10.93870091,70.39278188,29.45501371,17.84241436,14.24131821,94.80110827,32.88951013
NZL,NZL,0.383081977,0.043720585,0.003261245,0.001544575,,7.48433162,3.054931636,7.48433162,3.054931636,34.72338865,2.813207679,34.72338865,2.813207679,49.76688553,2.264283339,49.76688553,2.264283339
IRQ,IRQ,0.362686737,0.236116228,0.112103374,0.047690936,,0,0,0,0,2.53E-07,2.83E-08,2.53E-07,2.83E-08,1.01E-06,1.13E-07,1.01E-06,1.13E-07
THA,THA,0.362646144,0.129377135,0.176724266,0.075465007,,25.45539625,8.792258744,47.60556872,10.34916469,26.03977929,8.854358237,48.41358201,10.38456556,26.63115591,8.915545339,49.22858889,10.41923681
ETH,ETH,0.35595457,0.292203699,1.421825757,0.60628844,,0,0,0.948261896,0.733556468,0,0,0.948261896,0.733556468,0,0,0.948261896,0.733556468
KAZ,KAZ,0.348779521,0.129996215,0.031859496,0.01357209,,17.32379569,10.7554478,33.10589385,11.65768885,17.32379569,10.7554478,33.10589385,11.65768885,17.32379569,10.7554478,33.10589385,11.65768885
